,time,content,search_key
85,2020-11-03T11:28:03.000Z,#SustainableFinance  definitions are key to shape capital markets towards a  #LowCarbon  economy.,"""sustainablefinance""AND""definition"""
86,2020-07-09T18:40:10.000Z,"Scaling  #sustainablefinance  efforts requires greater alignment around climate (and broader  #ESG ) metrics, definitions, and reporting standards. Go 'back to basics' on these key dimensions: ","""sustainablefinance""AND""definition"""
87,2020-07-09T18:40:10.000Z,Gerade habe ich diesen erstaunlichen Rucksack   bekommen und ich werde nie wieder zu gewöhnlichen zurückkehren! Perfekt für Reisen und den täglichen Gebrauch ,"""sustainablefinance""AND""definition"""
88,2020-08-18T16:51:46.000Z,"une initiative super. Pour voire plus des investissements durables comme cettes, une parte essentielle sera obtenir plus d’informations et une définition fiable sur des mesures durables comme dans la EU Taxonomy.  #ESG   #SupplyChain   #sustainablefashion   #sustainablefinance   #fashion","""sustainablefinance""AND""definition"""
89,2020-09-08T11:11:26.000Z,"In this video we discuss the principle of do no significant harm as envisaged under the  #Sustainablefinance  disclosure regulation and the  #Taxonomy  regulation. 

The  #Sustainablefinance  disclosure regulation introduces a definition of  #sustainableinvestme …","""sustainablefinance""AND""definition"""
90,2020-09-29T14:01:47.000Z,"Margaret highlights that Europe's definitions on what counts as ""green bonds"" is narrow and specific to their context (e.g. excludes nuclear). Canada's hope is to lead in establishing a new, more inclusive framework for  #sustainablefinance . #PowerBfast","""sustainablefinance""AND""definition"""
91,2020-09-29T21:29:28.000Z,"OECD: Bad ESG data is impeding sustainable finance.

As ESG investing proliferates, so does the number of standards, definitions and strategies, creating a muddle that hamstrings investors  #SustainableFinance   #ESG    via ","""sustainablefinance""AND""definition"""
92,2020-10-01T19:00:51.000Z,"OECD says that the inconsistent data from non-standardized metrics and definitions will hamper  #ESG  mainstreaming and the growth of  #greenfinance / #sustainablefinance . This is a well-known concern, but how best to effectively address?  #ThursdayThoughts","""sustainablefinance""AND""definition"""
93,2020-10-02T11:13:45.000Z,"We’re looking forward to building on the fruitful work of the Technical Expert Group on  #SustainableFinance !   w/  delighted to be among members & congrats to new chair N. Fabian.  #climatefinance  impact is multiplied w/ clear definitions & transparency.  #EUGreenDeal Say hello to the new Platform on Sustainable Finance! 
The list of the 50 selected members is now available:   https://europa.eu/!Mc94pB Would you like to learn more about the new platform and the work ahead?    FAQs  https://europa.eu/!yD36CF  
Stay tuned!  #SustainableFinanceEU","""sustainablefinance""AND""definition"""
94,2020-10-06T08:33:06.000Z,"More precise & consistent definitions of which investments are  #green  &  #sustainable  could facilitate investment by giving confidence to investors    

The OECD’s new report on  #sustainablefinance   #taxonomies  highlights how this can be achieved ","""sustainablefinance""AND""definition"""
95,2020-07-09T14:42:48.000Z,"Most investors and colleagues often ask me about the distinction between sustainable, green, and climate finance. Although there is no universal definition, I like to use the scheme proposed by UNEP for understanding these broad terms #SustainableFinance   #GreenFinance   #Climate","""sustainablefinance""AND""definition"""
